REF_AREA,REF_AREA_LABEL,TIME_PERIOD,PRICE_BASE,PRICE_BASE_LABEL,gdp_basic_prices,real_estate_total,imputed_rent,real_estate_excl_imputed,imputed_share_of_re,re_share_of_gdp,imputed_share_of_gdp,reliable,HPI,HPI_RPI,HPI_RPI_AVG,HPI_YDH,HPI_YDH_AVG,RHP,RPI,imputed_rent_yoy,real_estate_excl_imputed_yoy,HPI_yoy,RPI_yoy
AUS,Australia,2022,V,Current prices,2408297000000.0,261941000000.0,163452000000.0,98489000000.0,0.6240031152053325,0.108766069965623,0.06787036648718991,True,142.650023805628,137.692336520613,180.431875348787,115.935388583704,143.040039718895,124.420113150234,103.646337955792,6.8362604825057405,4.280753022891393,6.64326008027436,2.340233356841126
AUS,Australia,2023,V,Current prices,2511352000000.0,292209000000.0,182803000000.0,109406000000.0,0.6255899031172893,0.11635525406235367,0.07279067211605542,True,144.499256217277,130.737882343719,171.318766799159,117.259313772796,144.673486709895,119.11262735258,110.528738816092,11.838949661062582,11.084486592411324,1.2963421682766318,6.640274028046722
AUT,Austria,2010,V,Current prices,262315278000.0,24077420000.0,13387447000.0,10689973000.0,0.5560166745440334,0.09178809630752807,0.051035712071639226,True,77.3225,93.3682957581895,92.0183060382279,82.8702982000884,85.6937637118701,85.9760901199911,82.808831131987,,,,
AUT,Austria,2011,V,Current prices,274868077000.0,25332448000.0,13976204000.0,11356244000.0,0.5517115440244859,0.09216220478014986,0.05084695229995734,True,81.4725,95.2191289813099,93.842378509165,86.4355344163223,89.3804707290608,87.8553821419631,85.5564717502062,4.397828801861925,6.232672430510355,5.367131171392536,3.3180526529106524
AUT,Austria,2012,V,Current prices,281956183000.0,26341516000.0,14360871000.0,11980645000.0,0.5451801255478235,0.09342414739668965,0.050932988406925624,True,86.8625,97.2420147141145,95.8360158239518,88.2776317046108,91.2853299269332,91.5441301876843,89.3258500983163,2.7522995514375648,5.498305601746489,6.615729233790546,4.4057197205552345
AUT,Austria,2013,V,Current prices,287195976000.0,27758878000.0,15160921000.0,12597957000.0,0.5461647621348384,0.0966548291749046,0.05278946178549521,True,91.1949999999999,99.0165664493031,97.5849097426343,93.8439099539988,97.0412562771182,94.2042943740366,92.1010982227472,5.571040920846659,5.152577344541975,4.98776802417602,3.106881290663721
AUT,Austria,2014,V,Current prices,297231274000.0,28678371000.0,16062308000.0,12616063000.0,0.5600843925200633,0.09648503878498331,0.05403976433516212,True,94.675,98.867577106464,97.4380746008502,95.7408230452747,99.0027989016332,95.9712670929411,95.7600140460032,5.945463339595269,0.14372171614809304,3.8159986841385107,3.9727168229925836
AUT,Austria,2015,V,Current prices,307040613000.0,29896729000.0,16711664000.0,13185065000.0,0.5589796796833526,0.09737060093740758,0.05442818732256765,True,100.0,100.0,98.5541240642778,100.0,103.407089841724,100.0,100.0,4.0427315924959295,4.510139177332895,5.624504885133352,4.42772068930557
AUT,Austria,2016,V,Current prices,318953380000.0,31014220000.0,17111749000.0,13902471000.0,0.5517388152918242,0.09723747088054059,0.053649686985602726,True,106.705,103.511102553463,102.014460430842,103.76119551868,107.296432670848,105.264704107334,103.082848193641,2.394046457611876,5.441050157886962,6.705000000000005,3.082848193640997
AUT,Austria,2017,V,Current prices,329417151000.0,32690579000.0,17885998000.0,14804581000.0,0.5471300462435982,0.09923763501919182,0.05429589183715574,True,112.135,104.469987184738,102.959480779982,106.75643619776,110.393723890841,108.565312649733,107.340474151607,4.524663142265584,6.4888464791618805,5.088796213860647,4.130295226193259
AUT,Austria,2018,V,Current prices,344262282000.0,34076472000.0,18669075000.0,15407397000.0,0.5478582113782201,0.0989840414756793,0.05422921991785321,True,118.83,106.727734733645,105.184584100391,109.720544946108,113.458822487251,112.616945710845,111.331500049588,4.3781565893052266,4.071820742512067,5.970482008293576,3.7180997471131905
AUT,Austria,2019,V,Current prices,354893116000.0,35025073000.0,19062023000.0,15963050000.0,0.5442393510500321,0.09869189178637097,0.05371201113971453,True,125.9675,109.873090889849,108.284462308838,114.615908861734,118.520975849562,117.31768953534,114.639250793831,2.1048070137379638,3.6064041187489293,6.006479845156942,2.971082526301805
AUT,Austria,2020,V,Current prices,341771078000.0,36089039000.0,19894024000.0,16195015000.0,0.551248372116531,0.10559418664442988,0.05820862349271111,True,135.515,113.539574572373,111.89793318611,123.458837285834,127.66519078971,124.946847632381,119.344851852592,4.364704627625304,1.453137088463663,7.579335939825738,4.104703254929354
AUT,Austria,2021,V,Current prices,362536790000.0,35461435000.0,18248453000.0,17212982000.0,0.5145999590823102,0.0978147210935475,0.05033545147238712,True,151.015,124.145941727082,122.350945430475,132.443881903312,136.956363949624,136.599032635628,121.702277383012,-8.27168500450185,6.2856811185417305,11.437848208685386,1.9753055903339423
AUT,Austria,2022,V,Current prices,402769583000.0,36487205000.0,18781310000.0,17705895000.0,0.5147368783111779,0.09059076588710524,0.04663040803654729,True,168.4925,137.324415641751,135.338874962116,135.391699399398,140.004616236172,141.529708221222,122.716877611297,2.920011904570763,2.8636118947896527,11.573353640366868,0.8336739871283694
BEL,Belgium,2010,V,Current prices,326533530000.0,28796407000.0,17051418000.000002,11744990000.0,0.5921369982025884,0.08818820842074013,0.052219501011121286,True,91.5985,98.287806316842,125.156372640427,97.013671651296,122.288820905847,98.6760797906688,93.1940144895511,,,,
BEL,Belgium,2011,V,Current prices,339644316000.0,29628402000.0,17136442000.0,12491960000.0,0.5783788811829946,0.08723361647541895,0.05045408149859926,True,94.87725,100.631751361646,128.141073087708,98.7155272717081,124.434064082708,99.5592420936416,94.2818895711418,0.4986330169138853,6.359903243851206,3.579480013319003,1.1673229096839544
BEL,Belgium,2012,V,Current prices,346646299000.0,30058521000.0,17108809000.000002,12949712000.0,0.569183327416542,0.08671236671706108,0.04935523341618023,True,97.111,101.438012093394,129.167738269987,99.0131075333577,124.809173474019,99.6496761179994,95.7371096802833,-0.1612528435015692,3.664372924665149,2.354357867665846,1.5434778786899805
BEL,Belgium,2013,V,Current prices,350216953000.0,29962114000.0,16551832999.999998,13410281000.0,0.5524254062981002,0.08555300862320049,0.04726165554869641,True,98.5505,101.604637854395,129.379913885831,100.017448491555,126.075177218387,100.117327499944,96.9976297748223,-3.2554925360380405,3.5565964710257747,1.48232435048552,1.316647325941367
BEL,Belgium,2014,V,Current prices,358051345000.0,31157221000.0,17103232000.0,14053990000.0,0.5489331670497828,0.08701886317449806,0.047767540155448936,True,98.21675,99.1827091879466,126.295911728846,98.8178696964668,124.563069966512,98.99019354596,99.0280749271057,3.331347047786193,4.800115672445648,-0.33865886017827584,2.0932935753142035
BEL,Belgium,2015,V,Current prices,373301600000.0,33821300000.000004,19306000000.0,14515300000.0,0.5708237116846484,0.09060046889699912,0.051716895936154576,True,100.0,100.0,127.336622242816,100.0,126.053182839425,100.0,100.0,12.879249956967186,3.2824130371517324,1.815627171536427,0.9814641692365678
BEL,Belgium,2016,V,Current prices,384171000000.0,34797500000.0,19720500000.0,15077000000.0,0.5667217472519578,0.09057815399913059,0.051332609697244194,True,102.33025,101.375479576554,129.08811147524,99.8148142901897,125.819750358045,100.831675229608,100.941807570636,2.1470009323526273,3.8697098923205164,2.3302500000000004,0.9418075706359996
BEL,Belgium,2017,V,Current prices,396978700000.0,36108400000.0,20370900000.0,15737500000.0,0.5641595861350821,0.09095802873050872,0.05131484384426671,True,105.94825,103.838106089425,132.223936895184,100.111690120987,126.193971791847,102.323883547956,102.032407652431,3.298090819198296,4.380844995688804,3.535611415001916,1.0804245614799646
BEL,Belgium,2018,V,Current prices,410172800000.0,37512200000.0,21013100000.0,16499099999.999998,0.5601670923059698,0.09145462595276918,0.05122987189789279,True,109.14475,105.882682520432,134.827431461603,100.164738819689,126.260841365014,103.282854080811,103.081607731121,3.152536215876567,4.83939634630659,3.01703897893546,1.0283008142511374
BEL,Belgium,2019,V,Current prices,427315100000.0,38860700000.0,21582000000.0,17278700000.0,0.5553682769481765,0.09094155577464967,0.05050605513355367,True,113.23325,108.678831726886,138.387953413971,100.060193260827,126.129058360552,105.601129876467,104.189607814221,2.70735874287944,4.725106217914932,3.7459428877705925,1.07487660261385
BEL,Belgium,2020,V,Current prices,417994900000.0,41434300000.0,23821800000.0,17612500000.0,0.5749294666496115,0.09912632905329706,0.05699064749354597,True,118.08675,110.372650367366,140.544804857677,102.914902852719,129.727510661953,109.130832381314,106.984108023808,10.378092855157073,1.9318582995248468,4.286285168004977,2.682129502368258
BEL,Belgium,2021,V,Current prices,452382900000.0,43691500000.0,24800200000.0,18891300000.0,0.5676207042559765,0.09658079472057852,0.05482125871689668,True,125.96225,115.393999244614,146.938820908992,104.720851526754,132.003966446021,113.44602999625,109.152858186464,4.107162347093829,7.260752306600415,6.669249513599107,2.0271703926094897
BEL,Belgium,2022,V,Current prices,505988000000.0,50201800000.0,28819300000.0,21382500000.0,0.5740690572847985,0.09921539641256315,0.05695648908669771,True,132.92875,117.658395300813,149.822226361155,101.514972173564,127.962853483334,108.268625674442,112.988208474116,16.205917694212136,13.187022597703702,5.530625246849752,3.5137424263322004
BGR,Bulgaria,2010,V,Current prices,33245466000.0,4014946000.0,3111026000.0,903920000.0,0.7748612310103299,0.12076672349847645,0.0935774520351136,True,105.8075,109.810593356227,,128.181725853273,,115.465209073546,96.3727049093176,,,,
BGR,Bulgaria,2011,V,Current prices,36109875000.0,4150983000.0,3222494000.0,928489000.0,0.7763206931948409,0.11495423343337521,0.0892413501846794,True,99.9749999999999,102.362394102953,,112.333906646997,,105.201754800278,97.6684074417101,3.5829980205887013,2.7180502699353903,-5.512369160976405,1.3444704427583387
BGR,Bulgaria,2012,V,Current prices,36295966000.0,4180772000.0,3238253000.0,942519000.0,0.7745586221874812,0.11518558288268178,0.08921798637347192,True,98.0724999999999,99.5420789159408,,108.045950747293,,100.306364534951,98.531482463287,0.4890311665436853,1.5110572123094634,-1.9029757439359751,0.8836788109727323
BGR,Bulgaria,2013,V,Current prices,36031087000.0,4124167000.0000005,3188887000.0,935279000.0,0.773219658660767,0.11446135388588195,0.0885037689814909,True,95.915,96.8554794452118,,102.42354774005,,99.5162717150548,99.0297949757448,-1.5244639625131229,-0.768154275935018,-2.199903132886283,0.5057393840019353
BGR,Bulgaria,2014,V,Current prices,37184553000.0,3895468000.0,3140217000.0,755251000.0,0.8061205996301343,0.10476038262447313,0.08444950245872258,True,97.2899999999999,98.0137858169148,,102.408012469569,,99.598551423381,99.2613024815325,-1.5262378378412267,-19.24858785453325,1.4335609654380521,0.2337756084867193
CAN,Canada,2010,V,Current prices,1555133000000.0,180555000000.0,119549000000.0,61006000000.0,0.6621195757525408,0.11610260987323914,0.07687381079303185,True,79.3670670736894,84.8675247927162,113.707749706195,91.796527150721,105.630853565982,85.6728753830355,93.5218468521847,,,,
CAN,Canada,2011,V,Current prices,1658213000000.0,188267000000.0,124591000000.0,63675000000.0,0.6617782192311983,0.11353607769327584,0.07513570331435106,True,83.664905631846,88.4751724771525,118.541371293863,93.5502567820129,107.648881520059,88.4382167132206,94.5628569562857,4.2175175032831635,4.374979510212107,5.415140960376186,1.1131197031923001
CAN,Canada,2012,V,Current prices,1706036000000.0,197404000000.0,130729000000.0,66675000000.0,0.6622408867094892,0.11570916440215799,0.07662733963409916,True,87.6357398708995,91.3987647391497,122.458477371625,95.3174808946544,109.682437660524,91.4576946351015,95.8852170885217,4.9265195720397115,4.711425206124842,4.74611691612552,1.3983927461575174
CAN,Canada,2013,V,Current prices,1777213000000.0,206321000000.0,137374000000.0,68947000000.0,0.6658265518294308,0.11609244361818195,0.0772974314277467,True,90.1085918967196,92.4834639926056,123.9117860609,95.1432140331475,109.481907663359,92.8006704057071,97.432659743266,5.083034368808748,3.407574053243345,2.8217392007678477,1.6138490392274996
CAN,Canada,2014,V,Current prices,1867752000000.0,215604000000.0,143692000000.0,71912000000.0,0.6664625888202446,0.11543502563509503,0.07693312602529671,True,94.8893761400259,96.0036193133766,128.62818307046,97.9316952666187,112.690630934128,95.8704423761409,98.8394273839428,4.599123560499074,4.300404658650847,5.305580902635709,1.4438358188964884
CAN,Canada,2015,V,Current prices,1856814000000.0,225597000000.0,150302000000.0,75295000000.0,0.6662411290930287,0.12149682197570677,0.08094617985430959,True,100.0,100.0,133.982639394656,100.0,115.070642479259,100.0,100.0,4.600116916738584,4.704360885526748,5.385875709028243,1.1742000604161085
CAN,Canada,2016,V,Current prices,1886103000000.0,236708000000.0,156652000000.0,80056000000.0,0.661794278182402,0.12550109935671594,0.08305590945987573,True,109.983555274126,109.25877672272,146.387792823414,110.951031511283,127.672064797398,109.07417165482,100.661185066119,4.224827347606808,6.32312902583172,9.983555274126,0.6611850661190077
CAN,Canada,2017,V,Current prices,1991534000000.0,245057000000.0,162099000000.0,82957000000.0,0.6614746773199704,0.12304936797463664,0.08139404097544907,True,122.684743263806,121.108277972726,162.264067353275,119.46801465615,137.472612022047,120.417082979434,101.301285130129,3.477134029568729,3.623713400619577,11.548260972309187,0.6358956171532704
CAN,Canada,2018,V,Current prices,2083379000000.0,253370000000.0,169786000000.0,83584000000.0,0.670110905000592,0.12161493420064232,0.08149549361877988,True,127.159315370148,124.115870657173,166.293719414138,122.141723311811,140.54926575014,122.851389532949,102.454810245481,4.742163739443184,0.7558132526489736,3.6472115336463995,1.1387072867537817
CAN,Canada,2019,V,Current prices,2161924000000.0,268487000000.0,179486000000.0,89002000000.0,0.6685090898255781,0.12418891690919755,0.08302141980939201,True,129.030139213111,122.591500648946,164.251328242974,120.12542293829,138.229095956017,122.650876746811,105.254260525426,5.713074105049887,6.482101837672283,1.4712440354976986,2.7323756427224177
CAN,Canada,2020,V,Current prices,2083990000000.0,281548000000.0,186717000000.0,94832000000.0,0.6631799906232685,0.13510045633616286,0.08959591936621576,True,137.385761135631,128.377162128406,172.003110199595,120.432419384799,138.582358739404,129.657864357615,107.012760701276,4.0287264744882645,6.550414597424781,6.475713328278698,1.6707163843739936
CAN,Canada,2021,V,Current prices,2366372000000.0,292873000000.0,191562000000.0,101310000000.0,0.6540787303711848,0.12376456448943784,0.08095176920619412,True,157.623642601291,144.812464902195,194.02356264842,134.42243505909,154.68075965876,144.488827587191,108.820435882044,2.5948360352833433,6.831027501265385,14.730697925588254,1.6892146029332755
CAN,Canada,2022,V,Current prices,2674953000000.0,308117000000.0,204726000000.0,103391000000.0,0.6644424033727447,0.11518594906153491,0.07653442882921681,True,175.382056346813,154.052203142805,206.403207816348,145.538315729117,167.471874962987,151.953862973622,113.891836389184,6.871926582516363,2.054091402625602,11.266338889554707,4.660338351003435
CHL,Chile,2018,V,Current prices,170093998143000.0,14630325672000.0,10269618046000.0,4360707626000.0,0.7019404951220145,0.08601317995770853,0.060376134126532865,True,126.811567028918,112.033527315893,,111.259841521365,,117.370254940278,113.203205189439,,,,
CHL,Chile,2019,V,Current prices,175974309648000.0,15533592643000.0,11002628739000.0,4530963904000.0,0.7083119141764145,0.08827193397758866,0.0625240625237199,True,137.49984374961,116.19279007278,,116.824931377066,,124.948845083656,118.358779287214,7.13766266395377,3.904326834132954,8.42847144870833,4.554265128047796
CHL,Chile,2020,V,Current prices,181622712957000.0,16195947003000.0,12441241529000.0,3754705474000.0,0.7681700567861509,0.08917357713313348,0.06850047181018334,True,146.627616569042,119.848858314044,,111.295372340875,,126.552643023392,122.388253582056,13.075173434696396,-17.13230223076171,6.63838777595549,3.4044574632388747
CHL,Chile,2021,V,Current prices,214091859874000.0,18300845204000.0,13774708896000.0,4526136307000.0,0.7526815697555473,0.08548127525619442,0.06434018044453844,True,163.996909992275,130.539201086957,,109.460296769941,,135.491505861676,125.653478010641,10.718121369895005,20.545708267715913,11.845854027814994,2.6679230506347684
CHL,Chile,2022,V,Current prices,235700177024000.0,20750298213000.0,15538781147000.0,5211517066000.0,0.7488461605465024,0.08803683762565488,0.06592604784262752,True,175.24118810297,133.964490832353,,112.778669937767,,130.684273435751,130.843952102308,12.80660276974901,15.14273350407076,6.856396325531167,4.130784259889286
CHL,Chile,2023,V,Current prices,253479164131000.0,22372633266000.0,16860860083000.0,5511773183000.0,0.7536377091839109,0.08826221809078418,0.06651773584942933,True,189.200723001808,133.775243832236,,112.717576378255,,131.63137832099,141.477400242662,8.508253790904629,5.7613956396473265,7.965898342708977,8.126816692329486
CZE,Czechia,1994,V,Current prices,1236871000000.0,70395000000.0,43752000000.0,26643000000.0,0.6215214148732154,0.056913776780278626,0.03537313107025712,True,,,,,,,16.645030452,,,,
CZE,Czechia,1995,V,Current prices,1461630000000.0,90924000000.0,57887000000.0,33037000000.0,0.636652588975408,0.06220726175571109,0.03960441424984435,True,,,,,,,18.5169267837228,32.30709453282137,23.998798934053966,,11.245977212963766
CZE,Czechia,1996,V,Current prices,1671370000000.0,102226000000.0,65555000000.0,36671000000.0,0.6412752137421008,0.06116299801958872,0.039222314628119447,True,,,,,,,22.2902816343869,13.246497486482278,10.999788116354381,,20.37786774628849
CZE,Czechia,1997,V,Current prices,1807139000000.0,119700000000.0,77041000000.0,42659000000.0,0.6436173767752715,0.06623729552624341,0.04263147439128921,True,,,,,,,29.2122662103436,17.52116543360538,16.32897930244608,,31.053822869955372
