REF_AREA,TIME_PERIOD,imputed_share_change,imputed_share_lag1,HPI_yoy,RPI_yoy,HPI_YDH,gdp_growth,re_total_growth,years_since_start,shap_imputed_share_lag1,shap_HPI_yoy,shap_RPI_yoy,shap_HPI_YDH,shap_gdp_growth,shap_re_total_growth,shap_years_since_start,shap_base_value
AUS,2013,-0.0103253760854225,0.8005441737380263,6.625549487989701,3.286727112791765,88.3898364777304,3.9227298304920444,7.547615202077296,1,-0.0026026885,0.00047799194,0.0015155185,-0.005048114,-4.4699664e-06,-0.0028937252,-0.00045485716,-0.0015347165
AUS,2014,-0.0007158151112494071,0.7902187976526038,9.052510804753489,2.5172177682847074,93.052227693922,1.9101447159219909,5.836721962940716,2,-0.0025570507,-0.0014495567,0.0016018868,-0.002535267,0.0050183237,-0.0008164818,-0.000755944,-0.0015347165
AUS,2015,-0.022660450073822003,0.7895029825413544,9.027177749733584,1.6446487389201847,100.0,2.3350838336421154,2.1999312350941214,3,-0.0025344095,-0.0025716464,-0.005202351,-0.0014554872,0.004794654,-0.0005489733,-0.00079484814,-0.0015347165
AUS,2016,-0.003384500920361022,0.7668425324675324,5.499999999999994,0.7520625940079961,105.135169282325,6.597799285960604,3.662209501025293,4,-0.0015680898,0.0012016258,2.8544515e-05,0.00148591,-0.00035235396,0.0006483792,-0.00048393724,-0.0015347165
AUS,2017,0.0012316498717711566,0.7634580315471714,8.349052132701429,0.6333369891724283,112.448696366851,4.93444755165664,2.872420436632628,5,-0.0014642061,-0.000898357,-0.00025009466,0.0003036228,0.00014457847,0.0008861476,-0.00047660546,-0.0015347165
AUS,2018,0.004344833664192249,0.7646896814189426,-1.4386538154507744,0.6518138103164928,107.624053909329,5.8360872706959555,3.632985808570943,6,-0.0017031857,0.000895789,0.00027038407,0.0009681789,-0.00022276555,0.00038454737,-0.0002544031,-0.0015347165
AUS,2019,0.018460207806134332,0.7690345150831348,-4.06519399540668,0.3573457493441401,100.728895893051,1.6763349165719976,6.444941605098742,7,-0.0020631664,0.002123006,-5.8483663e-05,0.0007856832,0.005109692,-0.0020199674,-1.1502378e-05,-0.0015347165
AUS,2020,-0.007652619270326899,0.7874947228892691,5.396509651080761,-0.93459791809275,100.402162718949,4.725795108565123,1.7159121344040296,8,-0.002762819,0.0013579965,-0.0018810306,0.00078244216,0.0006153485,-2.9117155e-07,-0.0002046959,-0.0015347165
AUS,2021,-0.16153617771397177,0.7798421036189422,17.42262973318176,-0.1796793320221312,112.291795284242,12.128432611648886,10.428837288180981,9,-0.014209091,-0.03929406,-0.022696055,-0.0036574565,-0.021933725,-0.0063022906,-0.0020379913,-0.0015347165
AUS,2022,0.0056971893003620044,0.6183059259049705,6.64326008027436,2.340233356841126,115.935388583704,10.438093508618419,5.860838428865289,10,-0.000602848,0.0018645629,0.002291434,0.002790481,-0.004361727,-0.0013143895,0.0003746321,-0.0015347165
AUS,2023,0.0015867879119568773,0.6240031152053325,1.2963421682766318,6.640274028046722,117.259313772796,4.27916490366429,11.555273897557083,11,-0.0012173866,0.00039450717,0.0010200851,0.002616994,-0.0009125629,0.0059631937,0.0005476416,-0.0015347165
AUT,2011,-0.0043051305195475065,0.5560166745440334,5.367131171392536,3.3180526529106524,86.4355344163223,4.785386156577576,5.212468777800949,1,-0.0018974253,0.0005950884,0.00199214,-0.005463213,-0.00066111167,0.00010865027,-0.00014821219,-0.0015347165
AUT,2012,-0.006531418476662387,0.5517115440244859,6.615729233790546,4.4057197205552345,88.2776317046108,2.578730159341136,3.983302363829977,2,-0.0015249442,0.00016926795,0.0009194212,-0.00519069,0.0005570529,0.00073906506,-0.0008533935,-0.0015347165
AUT,2013,0.0009846365870149754,0.5451801255478235,4.98776802417602,3.106881290663721,93.8439099539988,1.8583713768036025,5.380715369608957,3,0.00063385966,0.0006334072,0.0015550567,-0.0031047899,0.0045947083,-0.0003984747,-0.0008483142,-0.0015347165
AUT,2014,0.013919630385224813,0.5461647621348384,3.815998684138511,3.972716822992584,95.7408230452747,3.4942334985919254,3.312428549885915,4,0.0010178027,0.0010685715,0.0012046546,-0.0031406353,-0.0009416525,0.00062600133,-0.000663261,-0.0015347165
AUT,2015,-0.001104712836710653,0.5600843925200633,5.624504885133352,4.42772068930557,100.0,3.300237847784482,4.248351484120216,5,-0.0019694322,0.00068899535,0.0012561142,-0.0016742505,-0.0006207487,0.00026173482,-0.00049109757,-0.0015347165
AUT,2016,-0.007240864391528379,0.5589796796833526,6.705000000000005,3.082848193640997,103.76119551868,3.879866863084991,3.7378370055132226,6,-0.0019487288,-0.0011767353,0.0019392046,0.0023699072,-0.0007036948,0.0003208665,-0.00042413373,-0.0015347165
AUT,2017,-0.004608769048226047,0.5517388152918242,5.088796213860647,4.130295226193259,106.75643619776,3.2806584460713273,5.405130291846771,7,-0.0013607553,0.00043597736,0.0015223022,0.0019308742,-0.00089859666,-0.0003906236,-0.00022404926,-0.0015347165
AUT,2018,0.0007281651346219276,0.5471300462435982,5.970482008293576,3.7180997471131914,109.720544946108,4.506483938354511,4.239426288534065,8,0.00046866445,0.00019533232,0.0015663558,-0.000101361315,-0.00053804636,0.0001202636,-0.00025081192,-0.0015347165
AUT,2019,-0.003618860328188034,0.5478582113782201,6.006479845156942,2.971082526301805,114.615908861734,3.088004279248935,2.7837418145869153,9,-7.635819e-06,0.00013874762,0.0018973189,0.0011045911,0.00037165053,-2.7912115e-06,-0.00019489593,-0.0015347165
AUT,2020,0.007009021066498922,0.5442393510500321,7.579335939825738,4.104703254929354,123.458837285834,-3.697461970493676,3.037726716515343,10,0.0022840262,-0.0013506146,0.0013739134,0.00446071,0.004336273,-2.5690755e-05,0.0003061951,-0.0015347165
